DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
106.7536,9.2557,0.2307,1.6172,0.5867,46.6488,124.4472,1.5966,Interbedded clay and mud
106.906,10.1738,0.2741,1.6573,0.6384,46.6488,124.4472,1.5966,Interbedded clay and mud
107.0584,11.2972,0.3442,1.6071,0.5781,46.6488,124.4472,1.5966,Interbedded clay and mud
107.2108,11.6496,0.3581,1.639,0.6736,46.6488,124.4472,1.5966,Interbedded clay and mud
107.3632,11.8323,0.3663,1.6494,0.5791,46.6488,124.4472,1.5966,Interbedded clay and mud
107.5156,17.2096,0.5167,2.4932,0.8329,46.6488,124.4472,1.5966,Interbedded sand and mud 
107.668,28.6009,0.8229,4.3534,1.4091,46.6488,124.4472,1.5966,Interbedded sand and mud 
107.8204,43.6973,1.2731,6.558,1.8245,46.6488,124.4472,1.5966,Interbedded sand and mud 
107.9728,51.6669,1.5134,7.7069,2.242,46.6488,124.4472,1.5966,Interbedded sand and mud 
108.1252,53.6993,1.6391,7.6225,2.3543,46.6488,124.4472,1.5966,Interbedded sand and mud 
108.2776,54.9381,1.6638,7.8755,2.3517,0.414,2.4876,1.4712,Marl
108.43,55.2704,1.6996,7.7719,2.3776,0.4535,1.1238,1.3158,Marl
108.5824,56.1878,1.7439,7.8068,2.1774,0.5127,0.7667,1.3614,Mud
108.7348,55.3408,1.7084,7.7432,2.278,0.7392,0.6817,1.3745,Marl
108.8872,58.6422,1.7876,8.3382,2.018,1.097,0.7294,1.3845,Mud
109.0396,58.8607,1.7816,8.4436,2.0583,1.1508,0.8941,1.3972,Mud
109.192,58.5615,1.8024,8.2256,2.045,1.2142,1.1819,1.3428,Mud
109.3444,58.727,1.8363,8.0804,1.8028,1.2626,1.4918,1.3013,Mud
109.4968,58.9744,1.833,8.1787,1.8762,1.2704,1.586,1.2576,Mud
109.6492,61.2534,1.8616,8.742,1.8021,1.2446,1.4564,1.2779,Mud
109.8016,62.6987,1.8868,9.058,1.8471,1.1993,1.2987,1.2008,Mud
